City,CityID,Country,Lat,Long,temp,humidity,cloudiness,wind speed
port alfred,964432,ZA,-33.59,26.89,66.99,91,69,1.83
santa marta,3668605,CO,11.24,-74.2,79.83,71,3,16.4
hope,4115181,US,33.67,-93.59,50.36,81,90,5.82
rikitea,4030556,PF,-23.12,-134.97,77.14,67,0,5.32
provideniya,4031574,RU,64.38,-173.3,23.83,96,100,20.76
pevek,2122090,RU,69.7,170.31,5.27,93,17,8.55
jumla,1283285,NP,29.27,82.18,63.3,20,59,6.2
cape town,3369157,ZA,-33.93,18.42,54.5,87,27,1.12
atar,2381334,MR,20.52,-13.05,64.78,46,2,8.84
albany,5106841,US,42.6,-73.97,33.44,86,100,4.65
hithadhoo,1282256,MV,-0.6,73.08,84.06,77,6,13.69
thinadhoo,1337610,MV,0.53,72.93,84.15,78,24,12.97
bluff,2206939,NZ,-46.6,168.33,52.0,73,40,1.01
busselton,2075265,AU,-33.65,115.33,69.75,47,99,7.87
basugaon,1276728,IN,26.47,90.4,89.24,39,82,6.42
kodiak,5866583,US,57.79,-152.41,46.4,81,90,6.93
port elizabeth,964420,ZA,-33.92,25.57,64.4,82,20,2.24
isangel,2136825,VU,-19.55,169.27,78.8,83,90,5.82
puerto madero,3520989,MX,14.72,-92.42,81.95,74,29,2.04
talnakh,1490256,RU,69.49,88.4,35.6,80,74,31.32
dunedin,2191562,NZ,-45.87,170.5,52.9,94,70,1.99
lorengau,2092164,PG,-2.02,147.27,84.63,70,79,7.27
calabozo,3647444,VE,8.92,-67.43,80.67,52,51,5.14
karratha,6620339,AU,-20.74,116.85,94.05,35,64,6.98
rancho palos verdes,5386035,US,33.74,-118.39,58.98,85,33,4.0
pochutla,3517970,MX,15.74,-96.47,80.01,80,17,5.21
lebu,3883457,CL,-37.62,-73.65,59.97,95,100,1.95
kjollefjord,779261,NO,70.95,27.35,34.68,94,100,19.3
hilo,5855927,US,19.73,-155.09,71.69,64,75,7.07
arua,235039,UG,3.02,30.91,66.99,66,100,6.08
traralgon,2146108,AU,-38.18,146.53,57.0,77,100,8.01
